Date,Open,High,Low,Close,Volume,Spread,RealVolume,Bid,Ask
2025.05.04 12:52,3201.4800,3201.8460,3201.4800,3201.8460,55,0.0293,0,3208.3580,3208.6510
2025.05.04 12:53,3201.8480,3202.2740,3201.8480,3202.2740,58,0.0293,0,3208.3580,3208.6510
2025.05.04 12:54,3202.2920,3202.5990,3202.2920,3202.4460,57,0.0293,0,3208.3580,3208.6510
2025.05.04 12:55,3202.4570,3202.8480,3202.4570,3202.8480,59,0.0293,0,3208.3580,3208.6510
2025.05.04 12:56,3202.8570,3203.1910,3202.8570,3203.1910,58,0.0293,0,3208.3580,3208.6510
2025.05.04 12:57,3203.2000,3203.5780,3203.2000,3203.5780,59,0.0293,0,3208.3580,3208.6510
2025.05.04 12:58,3203.5870,3203.9390,3203.5870,3203.9390,55,0.0293,0,3208.3580,3208.6510
2025.05.04 12:59,3203.9480,3204.3000,3203.9480,3204.3000,57,0.0293,0,3208.3580,3208.6510
2025.05.04 13:00,3204.3050,3204.6480,3204.3050,3204.6480,57,0.0293,0,3208.3580,3208.6510
2025.05.04 13:01,3204.6620,3205.0450,3204.6620,3205.0450,55,0.0293,0,3208.3580,3208.6510
2025.05.04 13:02,3205.0510,3205.2190,3203.0930,3203.2880,59,0.0293,0,3208.3580,3208.6510
2025.05.04 13:03,3203.2900,3203.6040,3203.2900,3203.6040,58,0.0293,0,3208.3580,3208.6510
2025.05.04 13:04,3203.6070,3203.9350,3203.6070,3203.9350,59,0.0293,0,3208.3580,3208.6510
2025.05.04 13:05,3203.9470,3204.3100,3203.9470,3204.3100,56,0.0293,0,3208.3580,3208.6510
2025.05.04 13:06,3204.3230,3204.6610,3204.3230,3204.6610,58,0.0293,0,3208.3580,3208.6510
2025.05.04 13:07,3204.6680,3205.0040,3204.6680,3205.0040,58,0.0293,0,3208.3580,3208.6510
2025.05.04 13:08,3205.0070,3205.3880,3205.0070,3205.3880,56,0.0293,0,3208.3580,3208.6510
2025.05.04 13:09,3205.3900,3205.8190,3205.3900,3205.8190,58,0.0293,0,3208.3580,3208.6510
2025.05.04 13:10,3205.8220,3206.1700,3205.8220,3206.1700,57,0.0293,0,3208.3580,3208.6510
2025.05.04 13:11,3206.1780,3206.5610,3206.1780,3206.5610,56,0.0293,0,3208.3580,3208.6510
2025.05.04 13:12,3206.5680,3206.9210,3206.5680,3206.9210,53,0.0293,0,3208.3580,3208.6510
2025.05.04 13:13,3206.9260,3207.3110,3206.9260,3207.3110,57,0.0293,0,3208.3580,3208.6510
2025.05.04 13:14,3207.3210,3207.6620,3207.3210,3207.6620,57,0.0293,0,3208.3580,3208.6510
2025.05.04 13:15,3207.6710,3207.9990,3207.6710,3207.9990,59,0.0293,0,3208.3580,3208.6510
2025.05.04 13:16,3208.0110,3208.3850,3208.0110,3208.3850,55,0.0293,0,3208.3580,3208.6510
2025.05.04 13:17,3208.3920,3208.4820,3208.3920,3208.4820,12,0.0293,0,3208.3580,3208.6510
